"year","total","sociologie","economie","geschiedenis","filosofie","psychologie","pedagogie","management","criminologie"
1900,21923,42,70,367,29,71,14,2,4
1901,19299,38,91,250,27,107,11,2,7
1902,20527,47,85,324,27,116,22,8,6
1903,21700,46,61,303,31,117,13,4,9
1904,23317,67,89,346,29,89,9,4,1
1905,24761,83,80,360,39,93,15,8,11
1906,23773,65,64,357,31,114,5,7,6
1907,24864,81,70,312,30,121,10,6,11
1908,26221,97,67,372,32,171,11,6,14
1909,26555,78,46,343,37,122,27,8,7
1910,29987,118,104,378,30,131,31,6,10
1911,28926,111,67,347,28,202,36,15,6
1912,32241,117,91,432,34,149,17,20,6
1913,33426,114,82,356,33,119,17,5,6
1914,24311,54,61,429,22,100,30,17,6
1915,15164,11,11,432,17,39,7,7,3
1916,15555,14,32,353,19,63,5,13,3
1917,16076,24,40,413,19,58,1,11,0
1918,15401,15,30,372,32,62,3,15,1
1919,21102,43,69,503,37,100,22,31,0
1920,27317,50,93,496,64,172,20,18,8
1921,28906,65,81,429,51,128,18,29,5
1922,30118,54,70,431,48,138,23,13,7
1923,30791,49,102,466,45,131,12,10,10
1924,31904,57,84,453,58,134,15,20,8
1925,34519,51,109,546,57,175,35,50,7
1926,34882,73,146,513,45,160,14,32,5
1927,38309,97,132,541,66,216,29,17,9
1928,40883,88,87,558,50,182,21,30,7
1929,43161,82,118,540,56,162,23,20,20
1930,49989,87,148,696,68,221,42,16,13
1931,45091,91,140,691,78,203,32,30,17
1932,42771,152,189,599,69,161,23,15,17
1933,42707,118,148,569,100,164,15,19,7
1934,43643,113,201,571,90,215,17,8,20
1935,45472,146,206,582,73,174,43,22,19
1936,45621,125,177,630,87,168,55,15,14
1937,47047,103,209,690,92,181,26,24,31
1938,46230,159,235,729,97,194,51,21,26
1939,42773,124,258,769,78,175,23,21,16
1940,28953,64,93,621,62,117,20,23,13
1941,34158,50,128,660,57,125,19,38,8
1942,33051,55,145,658,65,153,4,25,8
1943,31067,49,200,577,53,117,12,20,6
1944,28564,80,197,532,46,96,15,26,7
1945,35562,213,279,825,96,152,23,80,15
1946,49553,176,391,1002,192,326,43,76,18
1947,52138,120,360,870,155,262,43,133,18
1948,54660,156,327,1004,158,437,43,106,27
1949,54646,185,355,885,141,414,50,118,27
1950,58821,237,351,1008,143,397,66,133,41
1951,55997,208,383,996,126,415,39,107,27
1952,60910,229,340,988,179,385,60,109,28
1953,60774,258,364,854,130,356,50,151,24
1954,65235,231,381,930,116,402,74,177,28
1955,66864,372,429,930,153,349,66,150,21
1956,68791,364,457,969,176,446,66,178,43
1957,71407,322,481,1045,157,418,51,220,40
1958,77212,430,611,1074,166,457,56,219,46
1959,77748,482,532,1134,170,475,59,225,35
1960,89039,489,653,1307,181,509,72,332,46
1961,91598,466,632,1219,159,576,80,303,34
1962,97716,572,690,1335,266,571,46,286,31
1963,105173,794,802,1382,310,789,81,376,43
1964,111764,809,862,1451,275,742,121,396,35
1965,118142,804,943,1526,282,774,82,492,49
1966,128144,1007,999,1601,320,947,92,527,67
1967,134230,1101,1058,1604,385,992,160,620,85
1968,142088,1335,1207,1679,395,983,179,748,69
1969,145448,1412,1387,1654,446,984,132,815,70
1970,150933,1578,1468,1653,444,1177,180,903,112
1971,144670,1590,1482,1700,394,1033,144,897,95
1972,147667,1473,1370,1808,419,1155,239,884,97
1973,143476,1526,1269,1844,393,1087,219,838,133
1974,136790,1314,1362,1721,327,996,180,876,109
1975,137576,1230,1355,1773,334,945,193,956,91
1976,138608,1125,1309,1721,348,1004,211,968,105
1977,140026,1097,1357,1782,334,985,178,936,121
1978,143015,1216,1373,1943,325,1049,133,1016,116
1979,142103,1145,1468,2031,332,935,195,972,118
1980,138017,1022,1360,2550,368,1121,157,1031,172
1981,129252,1048,1264,2361,282,1190,187,949,185
1982,123628,1014,1252,2369,308,1080,174,973,149
1983,124980,971,1417,2173,293,1046,143,1001,179
1984,130795,925,1462,2202,297,1090,147,1083,159
1985,135421,1025,1779,2574,319,1188,134,1162,199
1986,138531,1025,1758,2413,337,1186,121,1330,178
1987,142222,1058,1813,2244,307,1165,140,1431,177
1988,145083,1050,1957,2343,354,1158,134,1682,157
1989,144688,1041,2022,2483,321,1163,127,1847,160
1990,147257,1094,2428,2406,341,1085,129,2121,188
1991,144315,1095,2471,2380,366,1091,155,2086,166
1992,145403,1140,2606,2507,360,1160,150,2195,170
1993,144512,1128,2474,2545,379,1189,171,2291,162
1994,150097,1200,2600,2504,375,1356,173,2350,183
1995,151357,1290,2396,2651,345,1428,171,2344,210
1996,155249,1368,2487,2520,374,1604,160,2624,223
1997,154682,1396,2243,2555,419,1771,153,2572,234
1998,151310,1344,2022,2666,422,1864,140,2708,203
1999,149667,1287,2059,2482,449,2026,156,2619,235
2000,151991,1284,2224,2394,427,1901,153,2649,176
2001,142846,1291,3042,2218,361,1931,132,2427,273
2002,141799,1710,3351,2098,387,1884,124,2471,206
2003,139102,1432,3232,2044,377,1972,113,2648,193
2004,140786,1734,2985,2127,422,1974,152,2476,164
2005,142792,1583,2841,2113,506,2081,151,2763,127
2006,141971,2081,2811,1954,453,1972,176,2834,208
2007,140052,1845,3195,1750,404,2019,144,2790,87
2008,127662,1215,3432,1842,406,2169,139,2736,110
2009,115344,1157,2989,1651,356,2040,88,2531,73
2010,99322,998,4086,1402,345,1729,80,2329,79
