Europese Unie,Verenigde Staten,United States,Europe,European Union,Afrika,Africa,China,Russia,Rusland,Europa,year
19,0,2,78,52,0,30,44,67,16,3,1900
19,0,4,61,43,0,19,21,31,3,2,1901
22,0,2,65,69,0,28,29,21,5,0,1902
30,0,11,63,101,0,20,29,12,9,0,1903
30,0,10,74,60,0,17,39,18,5,2,1904
49,0,4,152,62,0,11,45,13,15,8,1905
31,0,5,54,33,0,15,35,35,10,10,1906
23,0,5,75,76,0,22,38,33,9,9,1907
35,0,7,94,77,0,24,41,17,10,4,1908
38,0,4,101,34,0,22,43,23,13,5,1909
26,1,16,141,87,0,24,47,35,10,8,1910
31,0,5,102,81,0,25,46,30,8,0,1911
33,1,6,125,64,0,37,49,55,14,6,1912
40,5,7,129,85,0,47,62,44,23,9,1913
45,1,9,128,72,0,42,35,20,19,6,1914
61,0,7,105,69,0,14,27,14,16,5,1915
44,1,4,129,63,0,21,21,16,16,3,1916
38,0,7,109,57,0,18,24,13,18,5,1917
26,0,4,79,53,0,11,19,13,15,2,1918
41,0,8,84,79,0,12,26,24,18,4,1919
36,0,9,99,92,0,24,36,22,9,5,1920
57,0,8,81,138,0,26,26,36,9,6,1921
49,0,10,101,96,0,34,43,61,16,9,1922
44,0,6,106,80,0,30,43,35,9,4,1923
58,0,14,94,96,0,27,46,48,18,16,1924
82,0,8,111,107,0,35,39,54,15,8,1925
77,0,9,105,119,0,34,62,53,14,5,1926
61,0,21,119,134,0,43,46,71,17,8,1927
68,0,19,112,186,0,54,59,75,22,9,1928
83,0,18,140,135,0,48,72,70,27,11,1929
120,0,34,157,152,0,52,103,80,27,22,1930
111,1,40,189,254,1,46,48,119,14,14,1931
79,0,36,256,174,0,28,53,82,19,17,1932
73,0,45,176,176,0,47,39,88,10,24,1933
81,0,45,127,125,0,33,56,75,8,15,1934
60,0,41,118,150,0,40,58,107,9,16,1935
71,0,27,166,185,0,61,63,60,7,11,1936
92,0,34,179,184,0,81,73,116,19,16,1937
108,0,35,209,214,0,72,100,142,9,12,1938
99,0,44,192,252,0,64,67,98,12,6,1939
77,0,19,143,153,0,59,48,48,11,2,1940
121,0,20,155,164,0,64,28,41,11,6,1941
80,0,26,159,177,0,86,37,47,20,4,1942
132,0,18,159,136,0,77,45,64,22,9,1943
95,0,27,170,185,0,37,35,61,31,8,1944
84,0,28,182,133,0,30,64,61,39,9,1945
124,0,33,225,182,0,43,54,103,31,17,1946
122,0,48,252,244,0,75,61,74,41,22,1947
174,1,54,259,254,0,84,90,74,27,18,1948
156,1,57,247,246,6,96,84,73,36,25,1949
133,4,93,287,243,1,85,112,92,40,11,1950
161,4,53,229,276,3,89,126,85,25,8,1951
144,6,66,297,320,5,133,159,88,39,9,1952
154,14,53,303,376,13,115,169,97,37,18,1953
205,4,67,266,418,8,120,174,140,40,8,1954
203,8,58,297,315,10,123,154,130,26,9,1955
218,10,74,349,363,6,120,196,206,47,15,1956
203,14,62,317,428,11,135,205,164,44,10,1957
199,23,67,311,486,25,122,181,163,51,18,1958
258,13,57,333,423,15,133,213,180,75,23,1959
284,12,76,459,605,11,182,278,202,36,37,1960
229,14,69,430,602,9,222,289,215,76,23,1961
277,26,96,464,618,23,297,324,241,46,34,1962
317,21,121,593,713,20,204,342,196,72,27,1963
367,27,102,613,789,12,247,360,237,54,40,1964
405,19,101,582,791,12,215,430,211,63,22,1965
414,20,134,701,904,11,212,463,268,66,37,1966
442,26,89,746,1152,12,241,422,326,81,28,1967
473,44,171,821,1194,31,258,475,335,95,24,1968
490,72,205,776,1211,53,223,520,261,92,18,1969
460,48,219,725,1282,31,275,457,293,78,18,1970
418,38,214,701,1231,32,267,460,324,77,25,1971
460,39,187,591,1173,17,279,398,328,87,43,1972
449,25,189,617,1219,14,224,409,317,65,29,1973
430,35,180,626,1217,30,236,365,277,64,24,1974
553,61,202,638,1083,39,211,412,305,47,29,1975
475,81,205,639,1112,61,188,380,301,70,24,1976
511,82,165,566,1085,74,215,394,362,61,35,1977
467,71,156,596,1146,59,256,420,328,69,21,1978
674,70,194,549,1298,67,273,377,364,57,37,1979
588,59,190,556,1176,51,275,347,338,55,36,1980
511,60,185,514,1096,56,280,319,352,42,26,1981
541,75,196,484,1018,64,279,358,352,38,15,1982
588,96,262,519,1081,85,271,314,329,60,24,1983
545,103,320,599,1266,83,319,376,348,44,20,1984
582,100,402,729,1288,101,329,391,390,52,35,1985
624,124,376,695,1476,99,377,429,403,44,36,1986
670,122,371,795,1536,105,358,444,434,38,34,1987
725,139,385,853,1583,110,337,498,372,54,41,1988
924,159,383,826,1915,142,350,459,431,66,48,1989
990,230,423,803,2130,164,392,457,435,79,53,1990
1055,243,353,685,2344,190,359,421,357,78,44,1991
1239,390,403,704,2725,304,402,518,370,122,59,1992
1148,469,396,648,2673,354,361,473,398,181,75,1993
1128,496,304,589,2647,473,459,579,442,192,80,1994
1062,606,234,563,2540,515,430,486,474,220,100,1995
1015,772,260,469,2361,680,504,561,475,208,119,1996
1116,783,264,442,2167,627,403,501,533,203,118,1997
960,786,273,449,2129,645,378,477,488,208,143,1998
908,737,247,409,2180,625,363,501,514,238,127,1999
969,689,278,420,2227,681,284,473,516,221,113,2000
935,720,305,378,2060,697,319,455,454,190,78,2001
846,669,279,358,2076,627,273,464,493,186,88,2002
783,633,332,463,2031,633,287,469,537,239,98,2003
940,702,309,483,2018,641,296,521,608,211,71,2004
796,645,266,380,2080,669,314,453,702,252,93,2005
821,840,335,482,1966,621,321,470,818,234,91,2006
799,626,277,451,1913,581,310,501,865,210,85,2007
708,572,305,383,1776,495,289,429,806,175,96,2008
713,532,270,387,1626,481,253,388,666,140,82,2009

